iter	Passed	Remaining
0	137	137611
1	140	70037
2	143	47562
3	145	36273
4	148	29538
5	151	25052
6	153	21837
7	156	19412
8	159	17549
9	162	16060
10	164	14827
11	167	13805
12	170	12928
13	172	12177
14	175	11540
15	178	10976
16	181	10473
17	183	10022
18	186	9622
19	189	9267
20	191	8942
21	194	8645
22	197	8375
23	199	8130
24	202	7905
25	205	7708
26	208	7514
27	211	7336
28	214	7172
29	216	7013
30	219	6872
31	222	6732
32	225	6602
33	227	6473
34	230	6359
35	233	6245
36	235	6140
37	238	6040
38	241	5945
39	243	5854
40	246	5771
41	249	5687
42	252	5610
43	254	5538
44	257	5472
45	260	5403
46	263	5339
47	265	5274
48	268	5215
49	271	5155
50	274	5099
51	277	5053
52	280	5007
53	283	4965
54	286	4919
55	289	4887
56	292	4845
57	295	4806
58	298	4763
59	301	4726
60	305	4696
61	307	4659
62	311	4627
63	314	4602
64	318	4576
65	321	4549
66	324	4513
67	325	4462
68	328	4430
69	331	4402
70	334	4373
71	336	4342
72	339	4313
73	342	4283
74	345	4255
75	347	4227
76	350	4201
77	353	4175
78	355	4149
79	358	4125
80	361	4102
81	364	4077
82	366	4053
83	369	4029
84	371	3998
85	374	3980
86	376	3954
87	380	3939
88	383	3921
89	385	3902
90	389	3890
91	392	3873
92	395	3853
93	398	3836
94	400	3815
95	403	3796
96	405	3779
97	408	3761
98	411	3744
99	414	3727
100	417	3715
101	419	3691
102	422	3676
103	424	3660
104	428	3649
105	431	3638
106	434	3625
107	437	3613
108	440	3601
109	443	3590
110	446	3577
111	449	3565
112	452	3552
113	455	3539
114	457	3524
115	459	3505
116	462	3488
117	464	3474
118	466	3450
119	467	3428
120	469	3407
121	470	3387
122	471	3361
123	472	3338
124	473	3316
125	475	3294
126	476	3275
127	477	3252
128	478	3233
129	480	3215
130	481	3195
131	483	3176
132	484	3157
133	485	3140
134	487	3121
135	488	3104
136	490	3087
137	491	3068
138	492	3051
139	494	3035
140	495	3017
141	496	3000
142	498	2984
143	499	2967
144	500	2951
145	501	2934
146	502	2918
147	504	2901
148	505	2886
149	506	2870
150	507	2854
151	509	2840
152	510	2825
153	511	2809
154	512	2794
155	513	2778
156	514	2763
157	515	2748
158	516	2733
159	517	2718
160	519	2704
161	520	2689
162	521	2675
163	521	2660
164	522	2645
165	523	2630
166	524	2616
167	525	2602
168	526	2588
169	527	2574
170	528	2562
171	529	2548
172	530	2535
173	531	2520
174	531	2507
175	532	2494
176	533	2481
177	534	2468
178	535	2456
179	536	2444
180	537	2430
181	537	2417
182	538	2405
183	539	2393
184	540	2382
185	542	2373
186	543	2364
187	544	2352
188	546	2343
189	547	2331
190	549	2326
191	550	2314
192	551	2304
193	552	2293
194	552	2281
195	553	2271
196	554	2260
197	555	2249
198	555	2237
199	556	2226
200	557	2215
201	558	2204
202	558	2193
203	559	2182
204	559	2171
205	560	2161
206	561	2152
207	562	2142
208	563	2132
209	564	2123
210	565	2114
211	566	2104
212	566	2094
213	567	2085
214	568	2076
215	571	2073
216	573	2068
217	574	2060
218	575	2053
219	576	2044
220	577	2035
221	578	2026
222	578	2016
223	579	2007
224	580	1998
225	580	1988
226	581	1979
227	581	1970
228	582	1961
229	583	1952
230	583	1943
231	584	1934
232	585	1926
233	585	1917
234	586	1909
235	587	1900
236	587	1892
237	588	1883
238	588	1875
239	589	1866
240	590	1858
241	590	1850
242	591	1842
243	592	1834
244	592	1826
245	593	1818
246	594	1811
247	594	1803
248	595	1795
249	596	1788
250	596	1780
251	597	1773
252	597	1765
253	598	1758
254	599	1751
255	600	1744
256	601	1738
257	602	1731
258	602	1724
259	603	1717
260	604	1710
261	604	1703
262	605	1696
263	606	1689
264	606	1682
265	607	1675
266	607	1669
267	608	1662
268	609	1655
269	609	1648
270	610	1642
271	611	1635
272	611	1628
273	612	1622
274	613	1616
275	613	1609
276	614	1603
277	614	1596
278	615	1590
279	616	1584
280	616	1577
281	617	1571
282	617	1565
283	618	1558
284	618	1552
285	619	1546
286	620	1540
287	620	1534
288	621	1528
289	621	1522
290	622	1516
291	623	1511
292	623	1505
293	624	1499
294	625	1493
295	625	1488
296	626	1482
297	627	1477
298	627	1471
299	628	1466
300	629	1461
301	629	1455
302	630	1449
303	631	1445
304	631	1439
305	632	1434
306	632	1428
307	633	1423
308	634	1417
309	634	1412
310	635	1407
311	635	1401
312	636	1396
313	636	1391
314	637	1385
315	637	1380
316	638	1375
317	638	1370
318	639	1365
319	640	1360
320	640	1355
321	641	1350
322	641	1345
323	642	1340
324	642	1335
325	643	1330
326	644	1325
327	644	1320
328	645	1315
329	645	1311
330	646	1306
331	646	1301
332	647	1296
333	647	1291
334	648	1287
335	649	1282
336	649	1277
337	650	1273
338	650	1269
339	651	1264
340	652	1260
341	652	1255
342	653	1251
343	654	1247
344	654	1243
345	655	1238
346	655	1234
347	656	1229
348	657	1225
349	657	1221
350	658	1216
351	658	1212
352	659	1208
353	659	1204
354	660	1199
355	660	1195
356	661	1191
357	662	1187
358	662	1183
359	663	1179
360	663	1174
361	664	1170
362	664	1166
363	665	1162
364	665	1158
365	666	1154
366	667	1150
367	667	1146
368	668	1142
369	668	1138
370	669	1134
371	669	1130
372	670	1126
373	670	1123
374	671	1119
375	672	1115
376	672	1111
377	673	1107
378	673	1103
379	674	1100
380	674	1096
381	675	1092
382	676	1089
383	676	1085
384	677	1081
385	677	1078
386	678	1074
387	679	1071
388	679	1067
389	680	1063
390	680	1060
391	681	1056
392	681	1053
393	682	1049
394	683	1046
395	683	1042
396	684	1039
397	684	1035
398	685	1032
399	685	1028
400	686	1025
401	686	1021
402	687	1018
403	687	1014
404	688	1011
405	689	1008
406	689	1004
407	690	1001
408	690	998
409	691	994
410	691	991
411	692	988
412	693	985
413	693	982
414	694	978
415	696	978
416	699	977
417	700	975
418	701	972
419	702	970
420	703	967
421	704	965
422	705	962
423	706	960
424	707	957
425	708	954
426	709	952
427	710	949
428	711	946
429	712	944
430	713	941
431	714	939
432	715	936
433	716	933
434	717	931
435	717	928
436	718	926
437	719	923
438	720	921
439	721	918
440	722	916
441	723	913
442	724	911
443	725	908
444	726	905
445	727	903
446	728	900
447	729	898
448	751	922
449	752	919
450	753	916
451	753	913
452	754	910
453	754	907
454	755	904
455	756	901
456	756	898
457	757	896
458	757	893
459	758	890
460	758	887
461	759	884
462	759	881
463	760	878
464	761	875
465	762	873
466	762	870
467	763	867
468	764	865
469	764	862
470	765	859
471	766	857
472	766	854
473	767	851
474	768	849
475	769	846
476	770	844
477	770	841
478	771	839
479	772	836
480	772	834
481	773	831
482	774	828
483	775	826
484	775	823
485	776	821
486	777	818
487	777	816
488	778	813
489	778	810
490	779	808
491	780	805
492	780	802
493	781	800
494	782	797
495	782	795
496	783	792
497	783	790
498	784	787
499	785	785
500	785	782
501	786	779
502	786	777
503	787	774
504	787	772
505	788	769
506	789	767
507	789	764
508	790	762
509	790	759
510	791	757
511	791	754
512	792	752
513	793	749
514	793	747
515	794	744
516	794	742
517	795	740
518	795	737
519	796	735
520	797	732
521	797	730
522	798	728
523	798	725
524	799	723
525	799	720
526	800	718
527	801	716
528	801	713
529	802	711
530	802	709
531	803	706
532	803	704
533	804	702
534	805	699
535	805	697
536	806	695
537	806	692
538	807	690
539	807	688
540	808	685
541	808	683
542	809	681
543	810	679
544	810	676
545	811	674
546	811	672
547	812	670
548	813	667
549	813	665
550	814	663
551	815	661
552	815	659
553	816	657
554	816	655
555	817	652
556	818	650
557	818	648
558	819	646
559	819	644
560	820	641
561	820	639
562	821	637
563	821	635
564	822	633
565	823	631
566	823	628
567	824	626
568	824	624
569	825	622
570	826	620
571	826	618
572	827	616
573	828	614
574	828	612
575	829	610
576	829	608
577	830	606
578	830	604
579	831	601
580	831	599
581	832	597
582	833	595
583	833	593
584	834	591
585	834	589
586	835	587
587	835	585
588	836	583
589	836	581
590	837	579
591	837	577
592	838	575
593	839	573
594	839	571
595	840	569
596	840	567
597	841	565
598	841	563
599	842	561
600	842	559
601	843	557
602	844	555
603	844	553
604	845	551
605	845	549
606	846	547
607	846	545
608	847	544
609	847	542
610	848	540
611	848	538
612	849	536
613	849	534
614	850	532
615	850	530
616	851	528
617	852	526
618	852	524
619	853	522
620	853	521
621	854	519
622	854	517
623	855	515
624	855	513
625	856	511
626	856	509
627	857	507
628	857	506
629	858	504
630	858	502
631	859	500
632	860	498
633	860	496
634	861	494
635	861	493
636	862	491
637	862	489
638	863	487
639	863	485
640	864	484
641	864	482
642	865	480
643	865	478
644	866	476
645	866	475
646	867	473
647	868	471
648	868	469
649	869	468
650	869	466
651	870	464
652	871	462
653	871	461
654	872	459
655	872	457
656	873	455
657	873	454
658	874	452
659	875	451
660	876	449
661	877	447
662	877	446
663	878	444
664	878	442
665	879	440
666	879	439
667	880	437
668	880	435
669	881	434
670	881	432
671	882	430
672	882	429
673	883	427
674	884	425
675	884	423
676	885	422
677	885	420
678	886	418
679	886	417
680	887	415
681	887	413
682	888	412
683	888	410
684	889	408
685	889	407
686	890	405
687	890	403
688	891	402
689	891	400
690	892	399
691	892	397
692	893	395
693	893	394
694	894	392
695	894	390
696	895	389
697	896	387
698	896	386
699	897	384
700	897	382
701	898	381
702	898	379
703	899	378
704	899	376
705	900	374
706	900	373
707	901	371
708	901	370
709	902	368
710	902	366
711	903	365
712	903	363
713	904	362
714	904	360
715	905	359
716	905	357
717	906	355
718	906	354
719	907	352
720	908	351
721	908	349
722	909	348
723	909	346
724	910	345
725	910	343
726	911	342
727	911	340
728	912	339
729	912	337
730	913	336
731	913	334
732	914	333
733	915	331
734	915	330
735	916	328
736	916	327
737	917	325
738	917	324
739	918	322
740	918	321
741	919	319
742	919	318
743	920	316
744	920	315
745	921	313
746	921	312
747	922	310
748	922	309
749	923	307
750	923	306
751	924	304
752	925	303
753	925	301
754	926	300
755	926	299
756	927	297
757	927	296
758	928	294
759	928	293
760	929	291
761	929	290
762	930	288
763	930	287
764	931	286
765	931	284
766	932	283
767	932	281
768	933	280
769	933	278
770	934	277
771	935	276
772	935	274
773	936	273
774	936	271
775	937	270
776	937	269
777	938	267
778	938	266
779	939	264
780	939	263
781	940	262
782	940	260
783	941	259
784	941	257
785	942	256
786	943	255
787	943	253
788	944	252
789	944	251
790	945	249
791	945	248
792	946	246
793	946	245
794	947	244
795	947	242
796	948	241
797	948	240
798	949	238
799	949	237
800	950	236
801	950	234
802	951	233
803	951	232
804	952	230
805	952	229
806	953	228
807	953	226
808	954	225
809	954	223
810	955	222
811	955	221
812	956	220
813	957	218
814	957	217
815	958	216
816	958	214
817	958	213
818	959	212
819	960	210
820	960	209
821	961	208
822	961	206
823	962	205
824	962	204
825	963	202
826	963	201
827	964	200
828	964	198
829	965	197
830	965	196
831	966	195
832	966	193
833	967	192
834	967	191
835	968	189
836	968	188
837	969	187
838	969	186
839	970	184
840	970	183
841	971	182
842	971	181
843	972	179
844	973	178
845	973	177
846	974	175
847	974	174
848	975	173
849	975	172
850	976	170
851	976	169
852	977	168
853	977	167
854	978	165
855	978	164
856	979	163
857	979	162
858	980	160
859	980	159
860	981	158
861	981	157
862	982	155
863	982	154
864	983	153
865	983	152
866	984	151
867	985	149
868	985	148
869	986	147
870	986	146
871	987	144
872	987	143
873	988	142
874	988	141
875	989	140
876	989	138
877	990	137
878	990	136
879	991	135
880	991	133
881	992	132
882	992	131
883	993	130
884	993	129
885	994	127
886	995	126
887	996	125
888	996	124
889	997	123
890	997	122
891	998	120
892	998	119
893	999	118
894	999	117
895	1000	116
896	1001	114
897	1001	113
898	1002	112
899	1002	111
900	1003	110
901	1003	109
902	1004	107
903	1004	106
904	1005	105
905	1005	104
906	1006	103
907	1006	102
908	1007	100
909	1007	99
910	1008	98
911	1009	97
912	1009	96
913	1010	95
914	1010	93
915	1011	92
916	1011	91
917	1012	90
918	1012	89
919	1013	88
920	1013	86
921	1014	85
922	1014	84
923	1015	83
924	1015	82
925	1016	81
926	1016	80
927	1017	78
928	1017	77
929	1018	76
930	1018	75
931	1019	74
932	1019	73
933	1020	72
934	1020	70
935	1021	69
936	1021	68
937	1022	67
938	1022	66
939	1023	65
940	1023	64
941	1024	63
942	1024	61
943	1025	60
944	1025	59
945	1026	58
946	1027	57
947	1027	56
948	1028	55
949	1028	54
950	1029	53
951	1029	51
952	1030	50
953	1030	49
954	1031	48
955	1031	47
956	1032	46
957	1032	45
958	1033	44
959	1033	43
960	1034	41
961	1034	40
962	1035	39
963	1035	38
964	1036	37
965	1036	36
966	1037	35
967	1038	34
968	1038	33
969	1039	32
970	1039	31
971	1040	29
972	1040	28
973	1041	27
974	1041	26
975	1042	25
976	1042	24
977	1043	23
978	1043	22
979	1044	21
980	1044	20
981	1045	19
982	1045	18
983	1046	17
984	1046	15
985	1047	14
986	1047	13
987	1048	12
988	1048	11
989	1049	10
990	1049	9
991	1050	8
992	1050	7
993	1051	6
994	1052	5
995	1052	4
996	1053	3
997	1053	2
998	1054	1
999	1054	0
